BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
03-janv;T3;;11146;REG;T3;2;DIR2;DOUKKA;CASPOR;05:30:00;05:50:11;5.124;00:20:11;00:00:00;00:00:00
04-janv;T3;;11149;DH;T3;o_2;DIR2;HANT_d;CIDJ_d;05:17:00;05:27:52;4.212;00:10:52;00:02:08;00:02:08
04-janv;T3;;11147;REG;T3;2;DIR2;CIDJ_d;CASPOR;05:30:00;06:01:23;9.007;00:31:23;00:00:00;00:00:00
03-janv;T3;;11148;DH;T3;o_2;DIR2;HANT_d;DOUKKA;05:09:00;05:28:31;8.095;00:19:31;00:01:29;00:01:29
05-janv;T3;;11345;IN;;;;HANT_a;CDMHAN;08:59:54;09:02:54;0.800;00:03:00;;
08-janv;T3;;11347;IN;;;;HANT_a;CDMHAN;23:56:22;23:59:22;0.800;00:03:00;;
02-janv;T3;;11349;IN;;;;HANT_a;CDMHAN;22:59:54;23:02:54;0.800;00:03:00;;
03-janv;T3;;11351;IN;;;;HANT_a;CDMHAN;19:47:54;19:50:54;0.800;00:03:00;;
04-janv;T3;;11353;IN;;;;HANT_a;CDMHAN;22:35:54;22:38:54;0.800;00:03:00;;
10-févr;T3;;11355;IN;;;;HANT_a;CDMHAN;23:18:22;23:21:22;0.800;00:03:00;;
07-janv;T3;;11357;IN;;;;HANT_a;CDMHAN;23:25:22;23:28:22;0.800;00:03:00;;
11-janv;T3;;11359;IN;;;;HANT_a;CDMHAN;22:47:54;22:50:54;0.800;00:03:00;;
12-janv;T3;;11361;IN;;;;HANT_a;CDMHAN;23:40:22;23:43:22;0.800;00:03:00;;
06-janv;T3;;11363;IN;;;;HANT_a;CDMHAN;20:11:54;20:14:54;0.800;00:03:00;;
10-janv;T3;;11365;IN;;;;HANT_a;CDMHAN;08:35:54;08:38:54;0.800;00:03:00;;
09-janv;T3;;11367;IN;;;;HANT_a;CDMHAN;08:11:54;08:14:54;0.800;00:03:00;;
01-janv;T3;;11369;IN;;;;HANT_a;CDMHAN;09:23:54;09:26:54;0.800;00:03:00;;
09-févr;T3;;11371;IN;;;;HANT_a;CDMHAN;23:14:54;23:17:54;0.800;00:03:00;;
01-févr;T3;;11373;IN;;;;HANT_a;CDMHAN;19:23:54;19:26:54;0.800;00:03:00;;
05-févr;T3;;11375;IN;;;;HANT_a;CDMHAN;19:07:54;19:10:54;0.800;00:03:00;;
05-janv;T3;;11565;DH;T3;;DIR2;CASPOR;CASPOR;08:08:54;08:10:14;0.000;00:01:20;00:04:46;00:02:46
06-janv;T3;;11439;DH;T3;;DIR2;CASPOR;CASPOR;06:29:54;06:31:14;0.000;00:01:20;00:10:46;00:08:46
09-janv;T3;;11567;DH;T3;;DIR2;CASPOR;CASPOR;07:20:54;07:22:14;0.000;00:01:20;00:04:46;00:02:46
08-janv;T3;;11385;DH;T3;;DIR1;CIDJ_a;CIDJ_d;12:49:20;12:53:20;0.400;00:04:00;00:08:11;00:06:11
